E1,E1_rec
UK,United Kingdom
UK,United Kingdom
Switzerland,Switzerland
Italy,Italy
UK,United Kingdom
UK,United Kingdom
UK,United Kingdom
Austria,Austria
United Kingdom,United Kingdom
Germany,Germany
Portugal,Portugal
UK,United Kingdom
United Kingdom,United Kingdom
United Kingdom,United Kingdom
UK,United Kingdom
Germany,Germany
norway,Norway
Portugal,Portugal
Romania,
Romania,
United Kingdom,United Kingdom
United Kingdom,United Kingdom
Germany,Germany
United Kingdom,United Kingdom
United Kingdom,United Kingdom
Spain,Spain
Finland,
Netherlands,
United Kingdom,United Kingdom
Iran,
xx,
UK,United Kingdom
Italia,
Portugal,Portugal
Chile,
Slovenia,
italy,Italy
Spain,Spain
Turkey/Turkiye,
Catalonia,
Spain,Spain
Brazil,
NA,
Spain,Spain
Spain,Spain
Canada,
Malaysia,
Spain,Spain
Spain,Spain
switzerland,Switzerland
France,
Argentina,
Spain,Spain
Denmark,Denmark
Spain,Spain
Spain,Spain
Spain,Spain
Spain,Spain
Denmark,Denmark
Australia (and throughout South and SE Asia),
España,
Norway,Norway
UK,United Kingdom
Portugal,Portugal
Italy,Italy
UK,United Kingdom
Spain,Spain
SPAIN,Spain
United Kingdom,United Kingdom
Italy,Italy
Deutschland,
United Kingdom,United Kingdom
Belgium,
Denmark,Denmark
Brazil,
Portugal,Portugal
USA,
Brazil,
Qatar,
Spain,Spain
Spain,Spain
United Kingdom,United Kingdom
Palestine,
Serbia,
United States,United States
United Kingdom,United Kingdom
Poland,
Brasil,
Portugal,Portugal
Italy,Italy
UK,United Kingdom
UK,United Kingdom
England,
K,
Portugal,Portugal
United Kingdom,United Kingdom
United Kingdom,United Kingdom
Portugal,Portugal
Brasil,
Germany,Germany
France,
USA,
UK,United Kingdom
Finland,
UK,United Kingdom
Norway,Norway
United Kingdom,United Kingdom
Austria and interantionally,
UK,United Kingdom
Italy,Italy
UK,United Kingdom
United Kingdom,United Kingdom
UK,United Kingdom
Portugal,Portugal
NA,
United Kingdom,United Kingdom
UK,United Kingdom
UK,United Kingdom
United Kingdom,United Kingdom
Brazil.,
South Africa,
United Kingdom,United Kingdom
United Kingdom,United Kingdom
Chile,
United Kingdom,United Kingdom
portugal,Portugal
United Kingdom,United Kingdom
New Zealand,
Austria,Austria
Romania,
UK,United Kingdom
Canada,
uk,United Kingdom
USA,
Slovenia,
Netherlands,
Nigeria,
Russian Federation,
United Kingdom,United Kingdom
NA,
UK,United Kingdom
United Kingdom,United Kingdom
The Netherlands,
Australia,
Finland,
India,
spain,Spain
UK,United Kingdom
NA,
Portugal,Portugal
United Kingdom,United Kingdom
Ireland,
Portugal,Portugal
Portugal,Portugal
UK,United Kingdom
Portugal,Portugal
Brazil,
Portugal,Portugal
Polska,
Australia,
Brazil,
United States,United States
Austria,Austria
Serbia,
Estonia,
United Kingdom,United Kingdom
Portugal,Portugal
UK,United Kingdom
Australia,
germany,Germany
NA,
Norway,Norway
